appid,price,rating_count_tot
1014277964,0,252
1014459049,4.99,1249
1014565551,2.99,37
1014661557,2.99,5
1014902505,0,199
1014907403,0,0
1014919815,0,5805
1014920360,0.99,118
1015000630,1.99,19
1015059175,0,2436
1015077531,9.99,15
1015225810,0.99,0
1015552271,1.99,22
1015603795,1.99,142
1015744628,11.99,0
1015771623,9.99,0
1015820762,0,2
1015944446,0.99,20
1016197739,2.99,0
1016279124,0,1460
1016360869,0,795
1016366447,0,891
1016673544,0,17489
1016686482,3.99,49
1016810652,2.99,44
1016915419,1.99,816
1017064541,0,58738
1017112774,0,455
1017148055,0,1655
1017186083,0,285
1017228401,0,0
1017236115,0,0
1017240682,0,0
1017367213,4.99,1752
1017447032,3.99,47
1017492454,0,7109
1017551780,0,41036
1017581225,0,1296
1017627073,0,52
1018002876,3.99,58
1018142904,0,485
1018215577,0.99,1112
1018216485,7.99,1
1018236462,0,655
1018355599,9.99,2213
1018356776,6.99,9
1018357323,2.99,4
1018497986,0.99,73
1018704225,3.99,110
1018725005,0,1
1018743724,0,1002
1018920593,0,2541
1018922850,1.99,83
1018955135,2.99,4006
1019167420,2.99,11
1019230398,3.99,625
1019312381,2.99,128
1019442026,0,2925
1019447011,0,937
1019616705,0,293
1019838009,0.99,259
1019856486,6.99,75
1020009128,0,0
1020119327,0,53162
1020187921,0,21472
1020273791,0,101
1020304479,0,29
1020327340,0,7681
1020473684,3.99,423
1020481008,4.99,1385
1020536786,0,0
1020581825,0,0
1020583460,3.99,36
1020587577,1.99,391
1020657631,1.99,0
1020818294,0,15797
1020876671,0,94
1020947824,0,190
1020962158,5.99,884
1021091295,0,21
1021102353,1.99,16
1021204969,1.99,43
1021239565,0.99,129
1021368752,2.99,0
1021462578,1.99,79
1021496959,0,16
1021566244,15.99,1421
1021586545,1.99,75
1021672050,1.99,56
1021721629,0,1482
1021845881,0.99,12
1021877189,0,2
1021933645,0,141
1021967723,0,833
1021971213,2.99,124
1021988466,0.99,15
1022023000,6.99,52
1022056495,6.99,66
1022100908,9.99,2
1022196879,0,62
1022239163,0,99
1022256487,7.99,69
1022267439,0,1115
1022268606,0.99,301
1022301472,0,1768
1022305219,6.99,0
1022647461,0,360
1022667752,0,4142
1022729100,0,0
1022732646,0,261
1022763299,0,0
1022844131,1.99,0
1023002643,6.99,19
1023026782,6.99,6
1023028213,2.99,2
1023126431,2.99,27
1023146677,2.99,5478
1023218196,0,1179
1023273544,0,0
1023281359,0,3
1023648594,2.99,46
1023681159,2.99,7
1023681711,2.99,55
1023683909,0,176
1023741615,0.99,24
1023751978,3.99,85
1024000488,0,36
1024004804,0,26
1024216465,1.99,0
1024306067,0,4179
1024341813,0,0
1024374740,3.99,245
1024395159,2.99,0
1024488164,0,2491
1024505111,1.99,151
1024506807,3.99,71
1024507512,0,285
1024522751,0,526
1024577327,3.99,0
1024818709,0,47829
1024850260,0,0
1024951378,4.99,480
1024951639,0,723
1024953824,0,694
1024953838,1.99,67
1025000402,0.99,58
1025120568,0,3105
1025177870,0,37
1025243640,0,3111
1025297873,0.99,184
1025313530,0,19
1025396583,0,0
1025601254,0,3682
1025628019,0,14
1025707485,0,13674
1026152405,0,55
1026311548,2.99,186
1026540588,0,0
1026689855,0,0
1026717130,0,1
1026719224,0,0
1026720146,0,0
1026736263,0,0
1026832671,0,2572
1026901472,2.99,67
1026909621,0,1193
1027230451,0,3046
1027279455,0,813
1027284532,0,0
1027352017,0,31180
1027419374,2.99,92
1027688889,0,55077
1027799669,3.99,0
1028003495,0,1478
1028179601,1.99,70
1028272877,1.99,753
1028362533,0,13637
1028400679,0.99,20
1028464453,0,633
1028546978,6.99,248
1028556453,6.99,78
1028558002,2.99,10
1028610115,3.99,113
1028623510,4.99,10828
1028791881,0.99,0
1028902794,0,0
1028939296,0,0
1028950091,0.99,914
1028984371,0,1863
1029033692,0,447
1029273159,0,981
1029375276,0,1602
1029499643,4.99,78
1029588869,2.99,460
1029932207,1.99,157
1030395486,2.99,770
1030447361,0,4387
1030457527,3.99,48
1030487391,0,366
1030505688,0,4253
1030522460,3.99,78
1030548464,0.99,5778
1030634472,0,1468
1030710604,3.99,0
1030762703,1.99,28
1030792602,1.99,556
1030804846,0,13241
1030815031,0,125
1030902626,4.99,1350
1031002863,0,84062
1031021466,2.99,35
1031088612,0.99,11
1031152574,0,1906
1031155880,2.99,316
1031164407,0,0
1031228862,0,7511
1031388734,2.99,9
1031390478,6.99,72
1031391869,0,125
1031406492,0.99,429
1031530508,2.99,47
1031569021,0,1692
1031704553,0,0
1031706898,0,2129
1031728646,0,1133
1031781908,0.99,55
1031791319,0.99,0
1031838318,0,0
1031843950,3.99,875
1031857811,0,1
1031867079,0,38
1032040117,0,1776
1032240256,0,12
1032298135,0,0
1032301062,0,21012
1032308323,0,141
1032381310,0,55011
1032432287,0,297
1032443533,0,9768
1032451280,0,496
1032460746,2.99,68
1032464015,0,0
1032708262,2.99,1679
1032743715,3.99,2503
1032845453,0,4385
1032934485,0,41
1032997004,0,6313
1033014013,0,4375
1033049320,0,0
1033049991,2.99,155
1033076651,0,229
1033117027,0,0
1033229197,4.99,34
1033282601,0,10771
1033342465,4.99,334
1033387365,0,405
1033521131,0,1392
1033617377,0,815
1033645055,4.99,214
1033679736,1.99,36
1033682827,6.99,84
1033685038,2.99,20
1033746864,0,648
1033781064,0,256
1033803652,0,236
1033873301,1.99,7776
1034018838,0,1368
1034019709,0,10122
1034091427,0,572
1034201612,0,870
1034310786,0,793
1034383306,0,2908
1034399175,6.99,43
1034420003,0,33407
1034523226,0,143
1034533362,0,766
1034591399,2.99,54
1034630958,0,11748
1034658841,3.99,940
1034714533,0,57
1034773723,3.99,458
1034774337,0.99,21
1034933180,4.99,20
1034934076,2.99,7
1034995058,0,1765
1035107039,0.99,0
1035142291,0,222
1035161188,0.99,178
1035197114,2.99,0
1035217840,0.99,254
1035219553,0.99,7
1035219562,0.99,32
1035220162,0.99,6
1035238692,0,1267
1035245749,0,0
1035263816,0,1718
1035299535,0,77
1035331258,4.99,8675
1035355817,5.99,771
1035361376,0,805
1035460404,0,100
1035494079,0,37
1035525494,14.99,0
1035542049,0,0
1035582408,0,250
1035635092,2.99,10
1035663068,2.99,0
1035689743,4.99,139
1035690802,7.99,1350
1035696371,0,12123
1035837482,0,3354
1035993638,0,4638
1036062958,0,0
1036066107,0,830
1036088441,0,2251
1036094312,0,0
1036129117,0,0
1036141497,0,4013
1036157827,1.99,6
1036205036,0.99,10
1036435323,0,3355
1036437162,0,909
1036517151,1.99,66
1036661603,0,30670
1036723978,13.99,499
1036859032,0,2605
1037103749,2.99,67
1037160778,0.99,12
1037285199,3.99,1024
1037414606,0,2853
1037420924,0,2659
1037601932,2.99,1
1037712285,4.99,66
1037781582,1.99,376
1037799797,0.99,0
1037820836,0.99,228
1037823594,0,169
1037830332,2.99,313
1037866921,0.99,16
1038007349,0,89
1038313415,0,0
1038376578,3.99,273
1038379658,2.99,0
1038384580,2.99,0
1038653883,0,3809
1038796140,0,3047
1038849525,0,1149
1038866266,0,1074
1039011796,6.99,54
1039129211,6.99,109
1039133072,2.99,15
1039141908,4.99,342
1039171609,0,0
1039260250,0,51
1039264027,0,247
1039514679,1.99,1
1039596715,3.99,24
1039637425,0,99
1039728737,0,100
1039848719,0,7609
1039883456,0,0
1039910808,3.99,3
1039945866,1.99,22
1039971485,2.99,35
1039971965,0,2743
1040048258,0,0
1040083067,0,3323
1040093707,0,11696
1040105227,0,0
1040120819,2.99,111
1040172229,0,13345
1040224715,0,46
1040227414,1.99,3980
1040366566,0,0
1040407117,0,63
1040417757,2.99,0
1040444258,0,94
1040451375,2.99,885
1040451985,0,2211
1040523600,0.99,5
1040608649,0,10275
1040671838,0,1189
1040713617,0,0
1040803415,0,89
1040809311,4.99,12
1040811649,0,0
1040871937,0,1660
1040930654,4.99,270
1040968715,2.99,46
1041260001,20.99,1502
1041317729,9.99,95
1041370707,0,62
1041406978,0,104
1041465860,29.99,298
1041512978,2.99,187
1041517543,0,4668
1041528293,0,382
1041596399,0,2373
1041631196,0,12326
1041731729,0,11
1041808803,1.99,646
1041873285,0,1206
1041898963,0,201
1041903908,0,0
1041951266,0,611
1041987123,4.99,160
1042173956,1.99,40
1042195779,0,0
1042273323,0,2094
1042298797,2.99,7
1042299727,3.99,15
1042300762,2.99,14
1042322028,3.99,1075
1042326602,3.99,1046
1042345185,0,1017
1042419574,6.99,83
1042433429,0,69
1042770650,0,989
1042978679,0,0
1042987645,1.99,1995
1043003599,0,671
1043269825,0,113
1043318628,0,4623
1043337296,0,719
1043390344,0,0
1043450394,0,0
1043579926,2.99,1744
1043589663,0,11100
1043607606,0,19
1043640363,0,16879
1043689670,0,313
1043714288,0.99,15
1043733402,6.99,81
1043824696,0,340
1044142557,0,78
1044225211,0,43
1044283059,0,5
1044286515,0,729
1044318857,2.99,22
1044341430,6.99,123
1044374093,0,532
1044534100,0.99,0
1044534198,0,105
1044535426,0,494
1044550538,0,1
1044671796,4.99,21
1044677336,0.99,3229
1044733380,6.99,75
1044764933,6.99,76
1044818466,1.99,72
1044837432,6.99,84
1044848003,0,1416
1044867788,4.99,6380
1044871992,0,3895
1044923803,0,0
1044950341,2.99,56
1044953131,0,1086
1045102110,0,1521
1045164931,2.99,129
1045165396,0,21977
1045232937,2.99,17
1045268097,0.99,40
1045352003,0,0
1045436888,0,1753
1045504326,1.99,35
1045516045,0,17012
1045605097,1.99,83
1045823211,0,93
1045850132,0,0
1045901853,0,117470
1045947023,0,335
1046195811,4.99,127
1046280177,1.99,7
1046345589,1.99,12
1046429579,0,251
1046432580,0,355
1046448102,0,0
1046480662,3.99,18
1046505126,0,67
1046510029,0,915
1046553860,1.99,99
1046593064,0,38571
1046598440,0.99,1
1046617847,0.99,559
1046621147,0,58
1046684325,0,5448
1046694770,2.99,22
1046787882,0,20
1046824077,0,7
1046846443,0,24057
1046884557,3.99,366
1047042828,0,0
1047113274,0,5
1047118827,0,190
1047205902,0,328
1047246341,0,32395
1047264616,2.99,359
1047340501,0,4267
1047354020,1.99,59
1047566421,0,33
1047595823,0,140
1047605171,0,0
1047610405,0,404
1047653834,0,110
1047666264,0,343
1047713034,0,84
1047713752,0,151
1047733214,0,258
1047755798,2.99,13
1047755932,6.99,41
1047763490,9.99,15
1047808261,0,0
1047821816,1.99,22
1047840202,0,38
1047844240,2.99,0
1047961826,0,19199
1048018108,0.99,0
1048026594,3.99,375
1048130311,0,4499
1048139188,3.99,63
1048228014,4.99,21
1048260999,2.99,3
1048277914,6.99,88
1048505998,0,16
1048506340,0,26
1048542880,0,526
1048559057,0,539
1048629983,13.99,134
1048696422,2.99,77
1048702554,0,709
1048831615,0.99,50
1048838824,0,81
1048849149,0,0
1048868250,0,0
1048881232,0,84
1048896882,0,2758
1048899002,0,3
1048914472,0.99,0
1048925081,0,0
1049078653,0,257
1049201894,0,0
1049234587,0,3788
1049254261,9.99,93
1049257954,0,256
1049316554,0,0
1049316924,2.99,90
1049321283,0,329
1049351079,2.99,78
1049386519,2.99,296
1049649831,0,0
1049682098,0,692
1050017714,0,853
1050062943,0,0
1050162071,1.99,2718
1050199833,0,223
1050331109,1.99,31
1050339928,2.99,122
1050342815,1.99,44
1050367912,0,280
1050402885,1.99,28
1050452180,0,40
1050535507,1.99,55
1050563650,0,1
1050608523,0,21
1050712293,0,372
1050745469,0,7177
1050763662,6.99,66
1050831202,0,25834
1050893183,0,738
1050973882,0,347
1050988480,2.99,49
1051124278,0,10701
1051141720,4.99,64
1051195210,1.99,0
1051209606,1.99,17
1051326718,9.99,17
1051334048,0,5217
1051411202,0,0
1051434604,1.99,188
1051573241,0,20
1051638513,0,687
1051656345,0,10
1051708566,0,6
1051755724,1.99,32
1051767749,0,6083
1051910636,0.99,0
1051927783,0,2250
1052024839,0,0
1052035509,2.99,17
1052065651,0,438
1052087662,0,0
1052109508,0.99,0
1052113323,0,0
1052123679,0,650
1052223765,2.99,253
1052231801,0,29548
1052491589,0,1310
1052554029,0.99,0
1052556488,3.99,148
1052582820,0,303
1052623015,0.99,42
1052650787,24.99,0
1052661250,0,0
1052682268,2.99,11
1052684130,0,2
1052726188,0.99,93
1052729607,0,409
1052730063,0,5
1052744048,0,91
1052744981,0,195
1052857551,6.99,109
1052958353,1.99,61
1052982491,0,0
1052994265,0,37
1052998653,0.99,0
1053012308,0,266921
1053066296,0,19
1053189283,6.99,115
1053254031,6.99,65
1053276040,5.99,118
1053285387,0,1918
1053294286,2.99,10
1053294297,3.99,11
1053388964,0,238
1053524307,0,12
1053533457,0,145043
1053562258,6.99,69
1053605807,2.99,156
1053688442,0,855
1053795896,0.99,4
1053800699,0,0
1053807892,0,0
1053808624,0,144
1053874290,0,5934
1053946396,1.99,54
1054011814,0,319
1054033219,0,2288
1054256307,0,0
1054297141,0,0
1054355169,2.99,6
1054355818,0,158
1054501757,1.99,1656
1054651434,0,0
1054829917,1.99,119
1054867839,0,0
1054933075,0,0
1054948424,0,1104
1055138354,4.99,60
1055204150,3.99,16
1055274701,0,473
1055281310,0,1999
1055302647,0,31
1055333603,0.99,27
1055359142,14.99,108
1055376602,2.99,450
1055387127,3.99,27
1055397979,0,2114
1055455919,0,1946
1055486126,6.99,78
1055502792,0,40619
1055538670,4.99,203
1055570687,0,8
1055571047,0,1
1055596969,0,0
1055636344,18.99,79
1055672607,0,17867
1055677337,0,477
1055680013,0.99,0
1055681261,0.99,1
1055684003,2.99,37
1055697824,0,105
1055708498,0.99,528
1055714800,0.99,6
1055825012,6.99,68
1055925081,0,0
1055962232,7.99,0
1056011241,0,0
1056042016,0,0
1056224570,0,153
1056364454,0,979
1056489580,0,8
1056668779,0.99,9
1056672891,0,451
1056681903,19.99,493
1056683884,0,2908
1056813463,0,9068
1056893074,2.99,5
1056954483,0.99,67
1056963973,0,1
1056968162,1.99,10
1056999701,0.99,66
1057030968,0,375
1057080594,0,0
1057119275,1.99,0
1057124368,0,15
1057145653,0,91
1057172667,0,522
1057340661,0,2645
1057391061,0,805
1057403847,0,839
1057415516,0,2556
1057415521,0,3130
1057416982,0,813
1057446665,0,6
1057448045,0,1
1057510303,0,11828
1057554325,0,1781
1057556336,2.99,28
1057633985,1.99,127
1057673686,6.99,86
1057818838,0,0
1057819454,0,0
1057844059,0,38159
1057856541,0,7
1057870288,0,510
1057889290,0,8054
1057925633,2.99,395
1057961675,0,11123
1058023292,6.99,86
1058036662,6.99,77
1058156533,0,0
1058287503,0,1340
1058289313,0,0
1058304462,0,0
1058355648,0,298
1058370552,0,16259
1058526204,0,13664
1058528141,0,11325
1058602106,0,597
1058603368,0,399
1058709520,0,11034
1058747457,0,32
1058752053,0,1
1058786785,0,422
1058801458,0,288
1058952530,0,1722
1058959277,0,17865
1058965051,6.99,56
1059134258,0,27
1059195733,1.99,55
1059213655,0.99,96
1059218666,22.99,159
1059271164,0,0
1059302662,0,125
1059309490,0,150
1059310516,0,2
1059320420,0,0
1059325444,0,29
1059331825,0,0
1059336909,2.99,67
1059401746,1.99,75
1059405547,0,6872
1059407278,2.99,122
1059442774,2.99,17
1059443303,0,106
1059536022,0,57
1059554895,0,1662
1059593339,0.99,9
1059604202,0,1225
1059622588,0,2381
1059634715,0,434
1059642837,0,6
1059665257,0,3120
1059689426,2.99,17
1059718989,0.99,10
1059797590,4.99,86
1059827476,6.99,89
1059879206,6.99,24
1059911569,1.99,235
1060000733,0,0
1060017016,1.99,66
1060062637,0.99,27
1060082140,0,161
1060085133,0,127
1060085514,2.99,85
1060102144,2.99,30
1060103787,0,1192
1060178390,3.99,175
1060266198,0,1492
1060276201,4.99,70
1060333629,1.99,46
1060386658,6.99,0
1060433597,0,7367
1060443742,1.99,15
1060599603,0,366
1060704812,0,23148
1060739646,0,1738
1060894301,0,1
1060935829,0,0
1060973985,0,5
1060981840,0,0
1060986698,0,903
1061009889,0,441
1061042798,0,0
1061115611,0,135
1061132313,1.99,1156
1061143997,0,439
1061197325,4.99,1068
1061224933,0,187
1061345998,1.99,19
1061419426,2.99,9
1061501834,0,46
1061522995,1.99,118
1061531453,0,265
1061550054,0,94
1061572339,0,260
1061572575,0,303
1061610336,0,314
1061661355,5.99,1
1061662610,5.99,0
1061703886,0,705
1061724021,0,885
1061733193,0,1722
1061768547,0,17376
1061782177,0,689
1061802598,6.99,1460
1061859052,0,938
1061873443,5.99,0
1061897092,0,360
1061907653,0,814
1061909513,0,453
1061912080,0,1701
1061931703,0,21
1061960628,1.99,10
1061999170,0,829
1062002361,2.99,67
1062006344,0,23967
1062145414,0,0
1062164103,0,0
1062166395,0,1195
1062168249,0,1632
1062203687,0,0
1062209068,0,0
1062307524,0.99,2
1062318595,0,2740
1062425347,0,804
1062475106,1.99,166
1062550397,0,0
1062642163,3.99,83
1062647883,0,524
1062745479,2.99,791
1062764988,0,0
1062765947,0,724
1062771297,0.99,82
1062784298,0,0
1062825120,0,117
1062825798,0,179
1062825806,0,48
1062827816,0.99,0
1062834129,0.99,11
1062945251,4.99,1492
1063149922,0,469
1063166978,0,1736
1063180351,0,0
1063191689,0,6183
1063192467,4.99,627
1063194066,0.99,254
1063210798,0.99,53
1063211448,0,0
1063317238,0,215
1063637102,0,600
1063780668,0,111
1063781546,0,103
1063785850,0,22
1063828798,0.99,0
1063872409,1.99,76
1063873198,6.99,86
1063892879,0,1623
1063928863,1.99,12
1063946646,0,1
1063992958,0,0
1064016216,0,0
1064016503,0,9
1064020298,0,171
1064038965,0,0
1064078609,0,8013
1064087245,0.99,0
1064093693,2.99,83
1064165938,2.99,41
1064216828,0,67560
1064304763,0,1
1064362767,13.99,13
1064391608,0,0
1064421107,4.99,46
1064429971,0,4549
1064459184,0,421
1064676206,0,375
1064785404,0,650
1064830114,0,0
1064883436,0,7
1064885978,0,106
1064902326,0,0
1064913577,0,353
1064955217,0,1760
1064962398,6.99,1726
1064989970,1.99,11
1065127755,4.99,408
1065221752,0,151
1065222241,0,0
1065223198,0,0
1065249424,0,12982
1065271333,2.99,53
1065289089,9.99,115
1065304745,0,0
1065354321,3.99,31
1065354746,0,1
1065376321,0,111
1065401804,0,0
1065405497,0.99,53
1065421915,0,0
1065470211,4.99,0
1065480798,0,691
1065511007,0,1375
1065550288,0,0
1065562979,6.99,33
1065590798,0,52
1065599938,9.99,244
1065621093,2.99,185
1065623382,3.99,17
1065674928,6.99,67
1065675607,0,42
1065691080,0,0
1065719308,0,0
1065754566,0,3
1065770853,0,1
1065781769,0,3991
1065802303,0,70
1065810974,0,132
1065834036,0,244
1065849294,0,4009
1065902981,0,99
1065906948,0,1257
1065976148,6.99,66
1065980436,0,7518
1066018502,3.99,2491
1066091585,0,2886
1066111223,0,69
1066135421,0.99,27
1066170195,0,0
1066172927,0,0
1066322956,3.99,110
1066338494,1.99,1030
1066416979,0,682
1066612270,0,1
1066632299,0,0
1066685421,0,1
1066731455,3.99,187
1066737409,0,0
1066752474,0,12077
1066769531,0,0
1066784117,0,490
1066882875,0,181
1066980345,1.99,87
1067024404,4.99,137
1067059743,0,0
1067084549,0,343
1067117430,0,58
1067146012,3.99,10
1067180769,0,0
1067189485,1.99,8
1067205290,0,8
1067212421,1.99,23
1067231467,0,10
1067456521,3.99,12
1067458275,1.99,7
1067468386,0,98
1067575280,4.99,52
1067589627,0,19067
1067594919,0,2159
1067596534,1.99,169
1067644352,0,8271
1067684327,0,6282
1067686814,0,0
1067715382,5.99,0
1067720154,3.99,1
1067720293,0,2
1067766579,0,0
1067768015,3.99,28
1067773107,0.99,4
1067848872,1.99,0
1067848964,0,416
1067860796,0,2459
1067891186,0,727
1067903136,0,1631
1067937065,1.99,9
1067980441,0,64
1068019093,2.99,4062
1068026210,0,0
1068044677,0,1
1068076031,0,1419
1068079276,0,0
1068081729,0,0
1068095192,0,36355
1068100966,0,6
1068110571,0,6700
1068164841,0,0
1068204657,0,23556
1068236871,2.99,38
1068266222,0,17
1068353024,0,0
1068360791,0,0
1068366903,2.99,81
1068366937,0,15876
1068378177,0,35570
1068396594,0,0
1068416637,0.99,194
1068418810,0,0
1068419726,0,0
1068460848,0,0
1068463719,0,9
1068512694,2.99,166
1068556466,0.99,52
1068596150,0,3413
1068766238,0,10
1068808996,0,2602
1068818303,0,62
1068847177,0,998
1068875169,0,0
1068885474,0,0
1068996563,0,168
1069160488,0,6286
1069162618,2.99,161
1069217368,0,0
1069236120,0,233
1069287597,0,193
1069300300,2.99,0
1069319757,0.99,3
1069337400,0,52
1069359097,1.99,13
1069361548,0,1200
1069438454,6.99,88
1069460388,6.99,55
1069468543,6.99,47
1069508452,6.99,256
1069536554,1.99,97
1069592213,0,0
1069601724,2.99,2
1069621692,1.99,31
1069710958,0,2
1069729519,0,513
1069735362,0,49
1069737892,0,913
1069756985,0,21
1069757051,0,0
1069757703,0,0
1069769377,0,9
1069786966,0,667
1069786972,0,470
1069787152,0,191
1069789014,1.99,0
1069789077,0,55
1069796800,0,0
1069803052,2.99,186
1069830936,0,0
1069840000,6.99,16
1070007906,1.99,856
1070022685,1.99,21
1070036646,0,58
1070052833,0,0
1070057529,0,1380
1070091597,0,0
1070107731,0,1091
1070226733,0.99,70
1070228823,0.99,0
1070255846,0,1173
1070452700,0.99,0
1070492711,0,17865
1070504791,0.99,0
1070506962,0,72
1070525362,0,387
1070532401,0.99,0
1070615218,0,1523
1070670743,0,0
